State Name,County Code,FIPS, FI Rate , Number Food Insecure Individuals ,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold, Weighted Annual Dollars , Cost Per Meal ,Child FI Rate,Number Food Insecure Children,% of children in FI HH with HH incomes at or below 185% FPL,% of children in FI HH with HH incomes above 185% FPL
AK,ALEUTIANS EAST,02013,  0.151 ,  450 ,130%,SNAP,185%,other nutrition pgm,0.6500,0.3400,0.0000,n/a,n/a,0.248,100,0.513,0.487
AK,ALEUTIANS WEST,02016,  0.136 ,  750 ,130%,SNAP,185%,other nutrition pgm,0.5000,0.3300,0.1700,n/a,n/a,0.178,100,0.327,0.673
AK,ANCHORAGE,02020,  0.119 ,"  33,260 ",130%,SNAP,185%,other nutrition pgm,0.3400,0.1500,0.5100,n/a,n/a,0.186,13680,0.489,0.511
AK,BETHEL,02050,  0.211 ,"  3,620 ",130%,SNAP,185%,other nutrition pgm,0.5900,0.2700,0.1400,n/a,n/a,0.314,1940,0.75,0.25
AK,BRISTOL BAY,02060,  0.095 ,  60 ,130%,SNAP,185%,other nutrition pgm,0.2400,0.3600,0.4000,n/a,n/a,0.166,40,0.476,0.524
AK,DENALI,02068,  0.133 ,  200 ,130%,SNAP,185%,other nutrition pgm,0.2800,0.0900,0.6300,n/a,n/a,0.2,60,0.435,0.565
AK,DILLINGHAM,02070,  0.176 ,  870 ,130%,SNAP,185%,other nutrition pgm,0.5600,0.1400,0.2900,n/a,n/a,0.281,460,0.6,0.4
AK,FAIRBANKS NORTH STAR,02090,  0.126 ,"  12,240 ",130%,SNAP,185%,other nutrition pgm,0.3500,0.1600,0.4900,n/a,n/a,0.188,4790,0.502,0.498
AK,HAINES,02100,  0.137 ,  330 ,130%,SNAP,185%,other nutrition pgm,0.3200,0.1700,0.5100,n/a,n/a,0.207,110,0.194,0.806
AK,JUNEAU,02110,  0.107 ,"  3,310 ",130%,SNAP,185%,other nutrition pgm,0.3100,0.1300,0.5600,n/a,n/a,0.183,1340,0.368,0.632
AK,KENAI PENINSULA,02122,  0.153 ,"  8,120 ",130%,SNAP,185%,other nutrition pgm,0.4200,0.2200,0.3700,n/a,n/a,0.232,3050,0.603,0.397
AK,KETCHIKAN GATEWAY,02130,  0.129 ,"  1,700 ",130%,SNAP,185%,other nutrition pgm,0.4300,0.2000,0.3700,n/a,n/a,0.206,680,0.642,0.358
AK,KODIAK ISLAND,02150,  0.131 ,"  1,730 ",130%,SNAP,185%,other nutrition pgm,0.3600,0.2000,0.4400,n/a,n/a,0.216,850,0.487,0.513
AK,LAKE AND PENINSULA,02164,  0.177 ,  250 ,130%,SNAP,185%,other nutrition pgm,0.6400,0.1300,0.2300,n/a,n/a,0.263,150,0.668,0.332
AK,MATANUSKA SUSITNA,02170,  0.146 ,"  11,960 ",130%,SNAP,185%,other nutrition pgm,0.3700,0.1600,0.4700,n/a,n/a,0.224,5180,0.488,0.512
AK,NOME,02180,  0.211 ,"  1,970 ",130%,SNAP,185%,other nutrition pgm,0.6800,0.1400,0.1800,n/a,n/a,0.312,970,0.743,0.257
AK,NORTH SLOPE,02185,  0.122 ,  820 ,130%,SNAP,185%,other nutrition pgm,0.5300,0.1800,0.3000,n/a,n/a,0.202,470,0.615,0.385
