FIPS,State,"County, State",2011 Food Insecurity Rate,Number of Food Insecure Persons in 2011,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2011 Child Food Insecurity Rate,Number of Food Insecure Children in 2011,% food insecure children in HH w/ HH incomes below 185 FPL,% of food insecure children in HH w/ HH incomes above 185 FPL,Cost Per Meal,Weighted Annual Food Budget Shortfall
1001,AL,"Autauga County, Alabama",13.6%,"7,310",130%,SNAP,185%,Other Nutrition Program,38.5%,17.0%,44.5%,19.6%,2890,63%,37%,$2.82,"$3,360,680.00"
1003,AL,"Baldwin County, Alabama",13.1%,"23,540",130%,SNAP,185%,Other Nutrition Program,42.6%,21.3%,36.1%,23.0%,9550,73%,27%,$2.93,"$11,244,360.00"
1005,AL,"Barbour County, Alabama",23.0%,"6,330",130%,SNAP,185%,Other Nutrition Program,54.4%,21.1%,24.5%,25.9%,1590,79%,21%,$2.83,"$2,920,460.00"
1007,AL,"Bibb County, Alabama",15.8%,"3,590",130%,SNAP,185%,Other Nutrition Program,51.6%,21.9%,26.5%,24.8%,1330,87%,13%,$2.72,"$1,591,930.00"
1009,AL,"Blount County, Alabama",12.1%,"6,900",130%,SNAP,185%,Other Nutrition Program,52.3%,18.4%,29.3%,24.5%,3440,72%,28%,$2.64,"$2,969,710.00"
1011,AL,"Bullock County, Alabama",27.0%,"2,930",130%,SNAP,185%,Other Nutrition Program,54.8%,28.0%,17.2%,28.4%,680,71%,29%,$2.68,"$1,280,160.00"
1013,AL,"Butler County, Alabama",22.7%,"4,740",130%,SNAP,185%,Other Nutrition Program,59.9%,26.2%,13.8%,25.4%,1280,81%,19%,$2.64,"$2,040,060.00"
1015,AL,"Calhoun County, Alabama",17.5%,"20,550",130%,SNAP,185%,Other Nutrition Program,55.4%,18.4%,26.2%,25.6%,6910,78%,23%,$2.83,"$9,481,110.00"
1017,AL,"Chambers County, Alabama",21.0%,"7,230",130%,SNAP,185%,Other Nutrition Program,55.0%,24.4%,20.7%,25.7%,2020,75%,25%,$2.52,"$2,970,300.00"
1019,AL,"Cherokee County, Alabama",15.0%,"3,860",130%,SNAP,185%,Other Nutrition Program,60.2%,15.8%,24.1%,30.7%,1640,74%,26%,$2.65,"$1,667,610.00"
1021,AL,"Chilton County, Alabama",14.5%,"6,310",130%,SNAP,185%,Other Nutrition Program,62.4%,17.1%,20.5%,25.7%,2800,84%,16%,$2.62,"$2,695,200.00"
1023,AL,"Choctaw County, Alabama",19.9%,"2,780",130%,SNAP,185%,Other Nutrition Program,56.0%,24.9%,19.1%,22.6%,720,72%,28%,$2.64,"$1,196,490.00"
1025,AL,"Clarke County, Alabama",24.4%,"6,360",130%,SNAP,185%,Other Nutrition Program,56.6%,18.7%,24.7%,28.5%,1880,73%,27%,$2.58,"$2,675,090.00"
1027,AL,"Clay County, Alabama",17.6%,"2,460",130%,SNAP,185%,Other Nutrition Program,53.4%,23.7%,22.9%,26.1%,820,85%,15%,$2.73,"$1,094,860.00"
1029,AL,"Cleburne County, Alabama",13.4%,"1,990",130%,SNAP,185%,Other Nutrition Program,55.0%,28.0%,16.9%,26.6%,950,75%,25%,$2.66,"$862,970.00"
1031,AL,"Coffee County, Alabama",15.1%,"7,430",130%,SNAP,185%,Other Nutrition Program,56.9%,16.2%,26.9%,24.6%,2920,74%,26%,$2.85,"$3,452,190.00"
