FIPS,State,"County, State",2013 Food Insecurity Rate,# of Food Insecure Persons in 2013,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2013 Child food insecurity rate,# of Food Insecure Children in 2013,% food insecure children in HH w/ HH incomes below 185 FPL in 2013,% food insecure children in HH w/ HH incomes above 185 FPL in 2013,2013 Cost Per Meal,2013 Weighted Annual Food Budget Shortfall
1001,AL,"Autauga County, Alabama",13.9%,"  7,620 ",130%,SNAP,185%,Other Nutrition Program,46.1%,17.0%,37.0%,21.5%,"  3,090 ",69%,31%,$3.06,"$4,132,000.00"
1003,AL,"Baldwin County, Alabama",13.7%,"  25,720 ",130%,SNAP,185%,Other Nutrition Program,51.0%,17.9%,31.1%,23.9%,"  10,200 ",76%,24%,$3.16,"$14,375,000.00"
1005,AL,"Barbour County, Alabama",22.3%,"  6,090 ",130%,SNAP,185%,Other Nutrition Program,56.3%,18.1%,25.6%,29.5%,"  1,740 ",78%,22%,$3.02,"$3,251,000.00"
1007,AL,"Bibb County, Alabama",16.2%,"  3,690 ",130%,SNAP,185%,Other Nutrition Program,58.7%,24.2%,17.0%,26.3%,"  1,330 ",96%,4%,$3.03,"$1,982,000.00"
1009,AL,"Blount County, Alabama",12.1%,"  6,960 ",130%,SNAP,185%,Other Nutrition Program,64.9%,16.1%,19.0%,24.9%,"  3,490 ",77%,23%,$2.84,"$3,498,000.00"
1011,AL,"Bullock County, Alabama",23.7%,"  2,550 ",130%,SNAP,185%,Other Nutrition Program,49.6%,34.7%,15.7%,23.8%,  550 ,83%,17%,$2.91,"$1,315,000.00"
1013,AL,"Butler County, Alabama",22.3%,"  4,610 ",130%,SNAP,185%,Other Nutrition Program,65.9%,21.3%,12.8%,28.7%,"  1,400 ",80%,20%,$2.92,"$2,382,000.00"
1015,AL,"Calhoun County, Alabama",17.8%,"  20,900 ",130%,SNAP,185%,Other Nutrition Program,60.2%,16.2%,23.6%,26.9%,"  7,170 ",80%,20%,$3.02,"$11,186,000.00"
1017,AL,"Chambers County, Alabama",20.5%,"  7,000 ",130%,SNAP,185%,Other Nutrition Program,60.9%,19.7%,19.5%,28.3%,"  2,140 ",77%,23%,$2.77,"$3,429,000.00"
1019,AL,"Cherokee County, Alabama",15.1%,"  3,940 ",130%,SNAP,185%,Other Nutrition Program,66.3%,15.2%,18.5%,28.9%,"  1,550 ",79%,21%,$2.91,"$2,030,000.00"
1021,AL,"Chilton County, Alabama",14.4%,"  6,290 ",130%,SNAP,185%,Other Nutrition Program,69.0%,13.3%,17.7%,26.6%,"  2,870 ",86%,14%,$2.79,"$3,108,000.00"
1023,AL,"Choctaw County, Alabama",18.9%,"  2,590 ",130%,SNAP,185%,Other Nutrition Program,54.9%,21.4%,23.7%,24.1%,  720 ,71%,29%,$2.86,"$1,309,000.00"
1025,AL,"Clarke County, Alabama",23.2%,"  5,920 ",130%,SNAP,185%,Other Nutrition Program,60.3%,17.9%,21.8%,28.7%,"  1,780 ",73%,27%,$2.93,"$3,071,000.00"
1027,AL,"Clay County, Alabama",16.8%,"  2,310 ",130%,SNAP,185%,Other Nutrition Program,63.2%,21.6%,15.1%,25.8%,  790 ,91%,9%,$2.97,"$1,215,000.00"
1029,AL,"Cleburne County, Alabama",14.4%,"  2,160 ",130%,SNAP,185%,Other Nutrition Program,59.7%,21.4%,18.9%,27.5%,  980 ,75%,25%,$2.89,"$1,106,000.00"
1031,AL,"Coffee County, Alabama",15.6%,"  7,900 ",130%,SNAP,185%,Other Nutrition Program,58.2%,13.0%,28.7%,25.8%,"  3,130 ",71%,29%,$2.96,"$4,138,000.00"
1033,AL,"Colbert County, Alabama",16.3%,"  8,860 ",130%,SNAP,185%,Other Nutrition Program,56.4%,18.5%,25.1%,26.3%,"  3,140 ",77%,23%,$2.85,"$4,475,000.00"
1035,AL,"Conecuh County, Alabama",23.0%,"  3,010 ",130%,SNAP,185%,Other Nutrition Program,73.8%,19.2%,7.0%,29.3%,  880 ,88%,12%,$2.96,"$1,577,000.00"
1037,AL,"Coosa County, Alabama",17.7%,"  1,980 ",130%,SNAP,185%,Other Nutrition Program,60.3%,27.8%,11.9%,26.0%,  570 ,100%,0%,$2.99,"$1,048,000.00"
1039,AL,"Covington County, Alabama",16.4%,"  6,220 ",130%,SNAP,185%,Other Nutrition Program,65.1%,19.6%,15.2%,27.3%,"  2,310 ",85%,15%,$3.01,"$3,310,000.00"
1041,AL,"Crenshaw County, Alabama",17.2%,"  2,410 ",130%,SNAP,185%,Other Nutrition Program,59.4%,16.9%,23.8%,24.7%,  800 ,77%,23%,$2.85,"$1,217,000.00"
1043,AL,"Cullman County, Alabama",13.9%,"  11,160 ",130%,SNAP,185%,Other Nutrition Program,68.8%,16.2%,15.0%,26.3%,"  4,850 ",89%,12%,$2.67,"$5,284,000.00"
1045,AL,"Dale County, Alabama",17.1%,"  8,570 ",130%,SNAP,185%,Other Nutrition Program,53.3%,15.3%,31.4%,24.8%,"  3,020 ",72%,28%,$2.72,"$4,129,000.00"
1047,AL,"Dallas County, Alabama",28.6%,"  12,330 ",130%,SNAP,185%,Other Nutrition Program,67.8%,22.6%,9.7%,33.2%,"  3,700 ",79%,21%,$2.91,"$6,341,000.00"
1049,AL,"DeKalb County, Alabama",13.4%,"  9,550 ",130%,SNAP,185%,Other Nutrition Program,69.5%,17.1%,13.3%,27.2%,"  4,910 ",86%,14%,$2.91,"$4,922,000.00"
1051,AL,"Elmore County, Alabama",14.5%,"  11,620 ",130%,SNAP,185%,Other Nutrition Program,42.5%,13.9%,43.6%,22.4%,"  4,180 ",65%,35%,$3.04,"$6,250,000.00"
1053,AL,"Escambia County, Alabama",19.8%,"  7,550 ",130%,SNAP,185%,Other Nutrition Program,64.3%,21.5%,14.2%,28.2%,"  2,420 ",93%,7%,$2.95,"$3,938,000.00"
