FIPS,State,"County, State",2014 Food Insecurity Rate,# of Food Insecure Persons in 2014,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2014 Child food insecurity rate,# of Food Insecure Children in 2014,% food insecure children in HH w/ HH incomes below 185 FPL in 2014,% food insecure children in HH w/ HH incomes above 185 FPL in 2014,2014 Cost Per Meal,2014 Weighted Annual Food Budget Shortfall
1001,AL,"Autauga County, Alabama",14.4%,"  7,930 ",130%,SNAP,185%,Other Nutrition Program,45.1%,19.3%,35.6%,22.4%,"  3,190 ",72%,28%,$3.16,"$4,425,000.00"
1003,AL,"Baldwin County, Alabama",13.7%,"  26,200 ",130%,SNAP,185%,Other Nutrition Program,49.2%,15.4%,35.4%,23.8%,"  10,270 ",73%,27%,$3.38,"$15,630,000.00"
1005,AL,"Barbour County, Alabama",23.3%,"  6,330 ",130%,SNAP,185%,Other Nutrition Program,50.1%,21.2%,28.7%,30.0%,"  1,760 ",74%,26%,$3.02,"$3,377,000.00"
1007,AL,"Bibb County, Alabama",16.4%,"  3,730 ",130%,SNAP,185%,Other Nutrition Program,56.6%,24.0%,19.4%,26.6%,"  1,310 ",97%,3%,$2.91,"$1,914,000.00"
1009,AL,"Blount County, Alabama",12.2%,"  7,030 ",130%,SNAP,185%,Other Nutrition Program,62.8%,14.1%,23.1%,25.5%,"  3,540 ",77%,23%,$2.91,"$3,613,000.00"
1011,AL,"Bullock County, Alabama",24.4%,"  2,610 ",130%,SNAP,185%,Other Nutrition Program,50.6%,29.9%,19.5%,23.9%,  550 ,77%,23%,$3.06,"$1,408,000.00"
1013,AL,"Butler County, Alabama",22.6%,"  4,630 ",130%,SNAP,185%,Other Nutrition Program,63.6%,20.8%,15.6%,29.1%,"  1,410 ",80%,20%,$2.79,"$2,280,000.00"
1015,AL,"Calhoun County, Alabama",18.2%,"  21,340 ",130%,SNAP,185%,Other Nutrition Program,58.5%,14.7%,26.8%,27.9%,"  7,340 ",80%,20%,$3.01,"$11,344,000.00"
1017,AL,"Chambers County, Alabama",21.1%,"  7,200 ",130%,SNAP,185%,Other Nutrition Program,59.2%,21.0%,19.8%,28.7%,"  2,120 ",80%,20%,$2.75,"$3,501,000.00"
1019,AL,"Cherokee County, Alabama",14.6%,"  3,810 ",130%,SNAP,185%,Other Nutrition Program,63.6%,17.3%,19.2%,28.6%,"  1,510 ",83%,17%,$2.96,"$1,988,000.00"
1021,AL,"Chilton County, Alabama",14.1%,"  6,170 ",130%,SNAP,185%,Other Nutrition Program,66.3%,12.0%,21.7%,26.4%,"  2,830 ",86%,14%,$2.86,"$3,116,000.00"
1023,AL,"Choctaw County, Alabama",20.7%,"  2,810 ",130%,SNAP,185%,Other Nutrition Program,51.4%,19.0%,29.6%,25.6%,  750 ,67%,33%,$2.84,"$1,408,000.00"
1025,AL,"Clarke County, Alabama",25.1%,"  6,350 ",130%,SNAP,185%,Other Nutrition Program,55.8%,16.7%,27.5%,29.6%,"  1,770 ",67%,33%,$2.84,"$3,178,000.00"
1027,AL,"Clay County, Alabama",16.3%,"  2,220 ",130%,SNAP,185%,Other Nutrition Program,61.7%,23.0%,15.2%,26.2%,  790 ,96%,4%,$3.00,"$1,176,000.00"
1029,AL,"Cleburne County, Alabama",14.2%,"  2,130 ",130%,SNAP,185%,Other Nutrition Program,54.9%,20.1%,25.0%,27.6%,  990 ,73%,27%,$2.94,"$1,107,000.00"
1031,AL,"Coffee County, Alabama",16.0%,"  8,100 ",130%,SNAP,185%,Other Nutrition Program,56.1%,13.7%,30.2%,25.9%,"  3,140 ",74%,27%,$3.21,"$4,597,000.00"
1033,AL,"Colbert County, Alabama",17.2%,"  9,350 ",130%,SNAP,185%,Other Nutrition Program,55.8%,14.6%,29.6%,27.9%,"  3,320 ",75%,26%,$2.93,"$4,844,000.00"
1035,AL,"Conecuh County, Alabama",24.5%,"  3,190 ",130%,SNAP,185%,Other Nutrition Program,69.6%,17.9%,12.5%,31.1%,  900 ,79%,21%,$2.78,"$1,563,000.00"
1037,AL,"Coosa County, Alabama",18.9%,"  2,120 ",130%,SNAP,185%,Other Nutrition Program,60.5%,28.6%,10.9%,26.9%,  580 ,100%,0%,$3.24,"$1,214,000.00"
1039,AL,"Covington County, Alabama",16.6%,"  6,280 ",130%,SNAP,185%,Other Nutrition Program,61.5%,16.9%,21.6%,28.0%,"  2,350 ",84%,16%,$2.84,"$3,145,000.00"
1041,AL,"Crenshaw County, Alabama",17.3%,"  2,410 ",130%,SNAP,185%,Other Nutrition Program,55.4%,19.4%,25.2%,24.0%,  780 ,76%,25%,$3.00,"$1,275,000.00"
1043,AL,"Cullman County, Alabama",13.4%,"  10,810 ",130%,SNAP,185%,Other Nutrition Program,66.1%,15.1%,18.8%,25.8%,"  4,730 ",87%,13%,$2.73,"$5,211,000.00"
1045,AL,"Dale County, Alabama",17.5%,"  8,740 ",130%,SNAP,185%,Other Nutrition Program,52.4%,12.3%,35.3%,25.3%,"  3,050 ",69%,31%,$3.05,"$4,702,000.00"
1047,AL,"Dallas County, Alabama",30.3%,"  12,940 ",130%,SNAP,185%,Other Nutrition Program,66.3%,20.8%,12.9%,34.3%,"  3,780 ",73%,27%,$3.02,"$6,899,000.00"
1049,AL,"DeKalb County, Alabama",12.9%,"  9,140 ",130%,SNAP,185%,Other Nutrition Program,68.9%,16.1%,15.0%,26.1%,"  4,660 ",88%,12%,$2.88,"$4,650,000.00"
