"County, State",FIPS,State,Total Population,2018 Food Insecurity %,2018 Food Insecurity #,"[Revised Projections – Oct 2020] 
2020 Food Insecurity  %","[Revised Projections – Oct 2020] 
2020 Food Insecurity #","[Revised Projections – Oct 2020] 
2020 Food Insecurity % Change","[Revised Projections – Oct 2020] 
2020 Food Insecurity # Change","[Revised Projections – Oct 2020] 
Adjusted Annual Unemployment Change",Total Child Population,2018 Child Food Insecurity  %,2018 Child Food Insecurity #,"[Revised Projections – Oct 2020] 
2020 Child Food Insecurity  %","[Revised Projections – Oct 2020] 
2020 Child Food Insecurity #","[Revised Projections – Oct 2020] 
2020 Child Food Insecurity % Change","[Revised Projections – Oct 2020] 
2020 Child Food Insecurity # Change"
"Autauga County, Alabama",1001,AL,"55,200",0.156,"8,620",0.186,"10,240",19,"1,620",0.043,"13,369",0.214,"2,870",0.271,"3,620",26,750
"Baldwin County, Alabama",1003,AL,"208,107",0.129,"26,860",0.163,"33,970",26,"7,110",0.053,"45,677",0.169,"7,710",0.235,"10,720",39,"3,010"
"Barbour County, Alabama",1005,AL,"25,782",0.219,"5,650",0.251,"6,480",15,830,0.049,"5,436",0.320,"1,740",0.382,"2,080",19,340
"Bibb County, Alabama",1007,AL,"22,527",0.151,"3,400",0.189,"4,260",25,860,0.061,"4,659",0.209,970,0.283,"1,320",36,350
"Blount County, Alabama",1009,AL,"57,645",0.136,"7,810",0.161,"9,290",19,"1,480",0.036,"13,468",0.191,"2,580",0.24,"3,230",25,650
"Bullock County, Alabama",1011,AL,"10,352",0.205,"2,120",0.233,"2,410",14,290,0.04,"2,150",0.324,700,0.377,810,16,110
"Butler County, Alabama",1013,AL,"20,025",0.191,"3,820",0.235,"4,700",23,880,0.072,"4,566",0.270,"1,230",0.356,"1,620",32,390
"Calhoun County, Alabama",1015,AL,"115,098",0.174,"20,050",0.215,"24,690",23,"4,640",0.065,"25,196",0.246,"6,210",0.325,"8,190",32,"1,980"
"Chambers County, Alabama",1017,AL,"33,826",0.164,"5,530",0.202,"6,820",23,"1,290",0.06,"7,006",0.222,"1,560",0.296,"2,080",33,520
"Cherokee County, Alabama",1019,AL,"25,853",0.156,"4,040",0.185,"4,780",18,740,0.041,"5,286",0.211,"1,110",0.265,"1,400",26,290
"Chilton County, Alabama",1021,AL,"43,930",0.158,"6,960",0.189,"8,310",19,"1,350",0.046,"10,647",0.210,"2,230",0.268,"2,860",28,630
"Choctaw County, Alabama",1023,AL,"13,075",0.207,"2,710",0.242,"3,160",17,450,0.054,"2,650",0.316,840,0.383,"1,020",21,180
"Clarke County, Alabama",1025,AL,"24,387",0.211,"5,150",0.253,"6,160",20,"1,010",0.068,"5,389",0.277,"1,490",0.358,"1,930",29,440
"Clay County, Alabama",1027,AL,"13,378",0.159,"2,130",0.183,"2,450",15,320,0.032,"2,819",0.214,600,0.258,730,21,130
"Cleburne County, Alabama",1029,AL,"14,938",0.175,"2,620",0.204,"3,050",16,430,0.042,"3,438",0.262,900,0.317,"1,090",21,190
"Coffee County, Alabama",1031,AL,"51,288",0.156,"7,980",0.182,"9,320",17,"1,340",0.037,"12,161",0.217,"2,640",0.266,"3,240",23,600
"Colbert County, Alabama",1033,AL,"54,495",0.164,"8,940",0.202,"11,010",23,"2,070",0.06,"11,608",0.231,"2,680",0.304,"3,530",32,850
"Conecuh County, Alabama",1035,AL,"12,514",0.195,"2,440",0.231,"2,900",19,460,0.058,"2,651",0.278,740,0.349,930,26,190
"Coosa County, Alabama",1037,AL,"10,855",0.164,"1,780",0.194,"2,110",19,330,0.046,"1,850",0.245,450,0.304,560,24,110
"Covington County, Alabama",1039,AL,"37,351",0.177,"6,600",0.205,"7,650",16,"1,050",0.041,"8,190",0.251,"2,060",0.305,"2,500",21,440
"Crenshaw County, Alabama",1041,AL,"13,865",0.166,"2,300",0.199,"2,760",20,460,0.05,"3,116",0.226,700,0.289,900,28,200
"Cullman County, Alabama",1043,AL,"82,313",0.151,"12,470",0.179,"14,740",18,"2,270",0.04,"18,572",0.202,"3,760",0.255,"4,730",26,970
"Dale County, Alabama",1045,AL,"49,255",0.18,"8,860",0.207,"10,220",15,"1,360",0.04,"11,506",0.242,"2,780",0.294,"3,380",22,600
"Dallas County, Alabama",1047,AL,"40,029",0.227,"9,070",0.277,"11,070",22,"2,000",0.084,"9,780",0.326,"3,180",0.424,"4,140",30,960
"DeKalb County, Alabama",1049,AL,"71,200",0.166,"11,790",0.193,"13,760",17,"1,970",0.04,"17,480",0.227,"3,960",0.279,"4,880",23,920
"Elmore County, Alabama",1051,AL,"81,212",0.143,"11,640",0.172,"14,000",20,"2,360",0.043,"18,239",0.193,"3,510",0.248,"4,520",29,"1,010"
"Escambia County, Alabama",1053,AL,"37,328",0.194,"7,220",0.225,"8,410",16,"1,190",0.048,"8,328",0.265,"2,210",0.326,"2,720",23,510
"Etowah County, Alabama",1055,AL,"102,939",0.166,"17,120",0.208,"21,420",25,"4,300",0.068,"22,281",0.246,"5,490",0.328,"7,310",33,"1,820"
"Fayette County, Alabama",1057,AL,"16,585",0.183,"3,040",0.213,"3,530",16,490,0.044,"3,562",0.278,990,0.334,"1,190",20,200
